"Date","Price","Open","High","Low","Vol.","Change %"
"10/16/2024","96.945","96.935","96.945","96.935","17.70K","0.01%"
"10/15/2024","96.940","96.935","96.955","96.935","13.77K","0.15%"
"10/14/2024","96.795","96.820","96.820","96.810","17.93K","-0.02%"
"10/11/2024","96.815","96.810","96.825","96.805","16.97K","0.01%"
"10/10/2024","96.810","96.785","96.815","96.785","22.61K","0.02%"
"10/09/2024","96.790","96.795","96.800","96.785","21.18K","0.00%"
"10/08/2024","96.790","96.795","96.795","96.780","22.31K","0.01%"
"10/07/2024","96.785","96.800","96.805","96.780","31.52K","-0.01%"
"10/04/2024","96.795","96.815","96.820","96.780","26.59K","-0.02%"
"10/03/2024","96.815","96.820","96.830","96.810","12.24K","-0.01%"
"10/02/2024","96.820","96.830","96.830","96.815","15.13K","0.00%"
"10/01/2024","96.820","96.805","96.830","96.805","39.49K","0.01%"
"09/30/2024","96.810","96.790","96.815","96.770","43.82K","0.02%"
"09/27/2024","96.790","96.755","96.800","96.750","60.35K","0.04%"
"09/26/2024","96.750","96.750","96.770","96.740","80.90K","0.01%"
"09/25/2024","96.745","96.745","96.750","96.735","26.58K","0.00%"
"09/24/2024","96.745","96.735","96.750","96.720","34.58K","0.05%"
"09/23/2024","96.695","96.655","96.735","96.655","43.60K","0.05%"
"09/20/2024","96.645","96.660","96.660","96.650","17.57K","-0.01%"
"09/19/2024","96.655","96.660","96.665","96.645","20.80K","0.01%"
"09/18/2024","96.650","96.660","96.670","96.645","41.98K","-0.01%"
"09/17/2024","96.655","96.660","96.670","96.655","28.37K","0.15%"
"09/16/2024","96.512","96.540","96.545","96.535","30.49K","-0.02%"
"09/13/2024","96.535","96.540","96.545","96.530","228.22K","0.01%"
"09/12/2024","96.525","96.550","96.550","96.520","430.76K","-0.03%"
"09/11/2024","96.555","96.560","96.560","96.545","223.41K","0.00%"
"09/10/2024","96.555","96.560","96.565","96.550","146.67K","-0.01%"
"09/09/2024","96.560","96.565","96.565","96.550","127.85K","-0.01%"
"09/06/2024","96.570","96.565","96.590","96.550","216.51K","0.01%"
"09/05/2024","96.565","96.565","96.570","96.555","165.19K","0.01%"
"09/04/2024","96.560","96.550","96.570","96.550","216.91K","0.01%"
"09/03/2024","96.550","96.545","96.560","96.540","256.81K","0.01%"
"09/02/2024","96.545","96.555","96.555","96.540","91.42K","-0.01%"
"08/30/2024","96.555","96.575","96.580","96.550","193.02K","-0.02%"
"08/29/2024","96.570","96.565","96.585","96.560","182.66K","0.01%"
"08/28/2024","96.565","96.565","96.575","96.560","100.32K","0.00%"
"08/27/2024","96.565","96.565","96.565","96.555","100.21K","0.01%"
"08/26/2024","96.560","96.575","96.590","96.560","63.39K","-0.02%"
"08/23/2024","96.575","96.565","96.580","96.560","107.82K","0.01%"
"08/22/2024","96.570","96.580","96.590","96.565","103.51K","-0.01%"
"08/21/2024","96.575","96.570","96.590","96.560","118.03K","0.01%"
"08/20/2024","96.570","96.565","96.575","96.560","72.68K","0.13%"
"08/19/2024","96.449","96.450","96.455","96.450","4.28K","-0.01%"
"08/16/2024","96.455","96.460","96.470","96.445","14.43K","0.00%"
"08/15/2024","96.455","96.470","96.475","96.450","9.93K","-0.02%"
"08/14/2024","96.470","96.470","96.475","96.460","3.66K","-0.01%"
