"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2025","99.30","99.75","100.57","97.07","0.31K","-0.95%"
"03/17/2025","100.25","102.01","102.01","98.31","0.17K","-2.77%"
"03/14/2025","103.10","101.87","103.48","101.80","0.19K","0.85%"
"03/13/2025","102.24","103.34","105.27","98.43","0.36K","-0.86%"
"03/12/2025","103.13","104.22","105.81","100.66","0.17K","-1.16%"
"03/11/2025","104.34","102.46","106.69","100.00","0.39K","4.27%"
"03/10/2025","100.07","97.84","100.39","97.56","0.28K","3.25%"
"03/07/2025","96.91","90.12","99.61","90.12","0.89K","4.75%"
"03/06/2025","92.51","100.50","101.54","91.20","1.54K","-7.36%"
"03/05/2025","99.87","103.31","105.43","98.95","0.52K","-3.53%"
"03/04/2025","103.52","105.51","105.51","101.20","0.59K","-3.40%"
"03/03/2025","107.17","111.27","111.27","105.66","0.46K","2.06%"
"02/28/2025","105.00","110.57","110.75","104.27","0.58K","-2.18%"
"02/27/2025","107.34","100.25","108.40","100.25","0.59K","8.39%"
"02/26/2025","99.03","104.92","105.98","98.26","0.65K","-6.62%"
"02/25/2025","106.05","112.45","112.45","104.65","0.77K","-6.06%"
"02/24/2025","112.88","111.32","113.27","107.30","0.67K","0.12%"
"02/21/2025","112.75","114.91","115.50","110.40","2.33K","-0.83%"
"02/20/2025","113.69","112.77","115.76","112.73","0.24K","-1.45%"
"02/19/2025","115.37","119.85","120.02","112.66","1.24K","-2.13%"
"02/18/2025","117.88","114.40","118.91","112.14","0.99K","2.25%"
"02/17/2025","115.29","122.47","122.47","114.22","1.00K","-5.42%"
"02/14/2025","121.90","119.25","124.20","116.49","1.09K","-1.18%"
"02/13/2025","123.36","129.44","129.44","121.71","1.09K","-7.96%"
"02/12/2025","134.02","136.66","136.85","131.29","0.85K","-3.44%"
"02/11/2025","138.80","138.12","142.02","135.27","0.70K","0.15%"
"02/10/2025","138.59","136.76","139.90","136.76","0.82K","3.70%"
"02/07/2025","133.65","131.55","134.30","131.00","0.61K","2.21%"
"02/06/2025","130.76","128.50","133.60","128.50","0.55K","2.41%"
"02/05/2025","127.68","126.93","128.50","125.23","0.96K","2.44%"
"02/04/2025","124.64","127.25","127.97","123.18","0.62K","-3.07%"
"02/03/2025","128.59","127.10","129.85","126.75","1.36K","0.07%"
"01/31/2025","128.49","126.49","129.87","126.49","1.58K","3.17%"
"01/30/2025","124.54","124.00","126.91","123.25","0.94K","0.05%"
"01/29/2025","124.48","120.13","125.24","119.50","0.91K","5.47%"
"01/28/2025","118.02","118.60","119.80","117.50","0.68K","-0.05%"
"01/27/2025","118.09","119.37","120.55","117.48","0.45K","-3.30%"
"01/24/2025","122.11","122.23","122.87","119.00","1.65K","0.67%"
"01/23/2025","121.30","122.64","124.34","119.83","1.31K","0.73%"
"01/22/2025","120.41","124.46","125.25","120.10","0.88K","-2.48%"
"01/21/2025","123.48","119.00","123.77","117.28","0.82K","4.29%"
"01/20/2025","118.40","115.32","119.06","115.00","0.66K","1.81%"
"01/17/2025","116.29","114.00","117.65","114.00","0.92K","1.58%"
"01/16/2025","114.48","115.25","115.25","113.70","0.59K","-1.33%"
"01/15/2025","116.03","118.00","118.10","115.13","0.35K","-0.30%"
"01/14/2025","116.37","118.00","119.23","115.75","0.48K","-2.39%"
"01/13/2025","119.22","116.51","120.00","116.51","1.41K","7.14%"
"01/10/2025","111.27","109.00","112.80","107.50","0.69K","0.57%"
"01/09/2025","110.64","110.50","111.61","108.10","0.96K","-0.61%"
"01/08/2025","111.33","114.65","115.00","110.40","0.87K","-3.73%"
"01/07/2025","115.64","114.24","116.84","112.80","0.53K","0.55%"
"01/06/2025","115.00","118.25","118.25","114.25","0.92K","-3.80%"
"01/03/2025","119.54","120.30","121.07","119.31","0.43K","-1.28%"
"01/02/2025","121.08","120.06","121.60","118.26","0.46K","2.34%"
"12/31/2024","118.32","118.10","122.30","117.11","0.43K","-0.68%"
"12/30/2024","119.12","118.45","119.00","118.00","0.14K","-0.06%"
"12/27/2024","119.19","116.98","119.92","116.98","0.86K","4.66%"
"12/24/2024","113.88","114.32","116.27","112.61","0.27K","0.19%"
"12/23/2024","113.67","110.00","114.41","109.25","0.41K","3.48%"
"12/20/2024","109.85","109.70","110.76","106.50","1.31K","2.42%"
"12/19/2024","107.26","103.23","108.50","100.34","1.57K","5.43%"
"12/18/2024","101.74","104.98","105.42","100.98","1.13K","-2.64%"
"12/17/2024","104.50","99.75","104.75","99.62","1.80K","3.93%"
"12/16/2024","100.55","100.24","101.44","97.80","1.80K","-2.45%"
"12/13/2024","103.07","105.87","107.48","102.76","1.25K","-2.99%"
"12/12/2024","106.25","109.19","109.33","105.57","1.66K","-3.54%"
"12/11/2024","110.15","112.65","112.65","109.92","0.61K","-2.25%"
"12/10/2024","112.68","110.75","113.20","110.75","0.91K","1.17%"
"12/09/2024","111.37","114.55","114.60","111.18","0.97K","-3.73%"
"12/06/2024","115.68","115.19","116.15","114.42","1.85K","-0.04%"
"12/05/2024","115.73","118.13","118.13","114.71","0.56K","-0.98%"
"12/04/2024","116.87","119.75","119.75","116.30","0.77K","-3.41%"
"12/03/2024","121.00","121.30","121.75","120.24","1.21K","-0.05%"
