date,horizon_days,pnl_realized,VaR_energy,IM_energy,VaR_financials,IM_financials,AddOn_liquidity,IM_total,breach_var,breach_im
2025-07-01,2,-9413.108854907112,122632.77457453273,128764.41330325937,88419.55378407642,92840.53147328024,316827.6974606019,538432.6422371415,False,False
2025-07-02,2,16740.03813793339,128290.52805656209,134705.0544593902,88670.81012625746,93104.35063257033,314896.25246239017,542705.6575543507,False,False
2025-07-03,2,-12534.771921093568,124933.52155688986,131180.19763473436,88569.83759284884,92998.32947249128,317235.6355093805,541414.1626166061,False,False
2025-07-04,2,-41802.98306156593,124185.4140696542,130394.68477313692,88445.30533902813,92867.57060597953,322779.86471229105,546042.1200914076,False,False
2025-07-07,2,-25147.71154165563,125616.75060678323,131897.5881371224,88339.9108137635,92756.90635445168,312690.8954407711,537345.3899323451,False,False
2025-07-08,2,-1047.6323627775018,125710.2922829026,131995.80689704773,88215.59838429249,92626.37830350712,305589.5877855991,530211.772986154,False,False
2025-07-09,2,-42494.076570650475,116638.05333691947,122469.95600376546,88194.53675926395,92604.26359722715,304946.62475003616,520020.8443510288,False,False
2025-07-10,2,-37206.57216656797,122685.826929619,128820.11827609995,88158.71275188176,92566.64838947586,309402.9335872013,530789.7002527771,False,False
2025-07-11,2,72496.15695945878,122856.44758484385,128999.26996408604,88112.76394344906,92518.40214062152,315185.17816798575,536702.8502726933,False,False
2025-07-14,2,67044.61535306832,118235.45460229676,124147.2273324116,88121.17258026822,92527.23120928163,314740.6509102135,531415.1094519068,False,False
2025-07-15,2,-15494.394092625686,120740.96507724255,126778.01333110468,88166.1522981603,92574.45991306832,303512.11886516167,522864.59210933466,False,False
2025-07-16,2,-452.18555360997834,115649.7831501406,121432.27230764764,88035.46061188463,92437.23364247887,296422.59374669415,510292.09969682066,False,False
2025-07-17,2,41337.052210044276,119530.84974521959,125507.39223248058,87881.7359353904,92275.82273215993,297647.8558800804,515431.0708447209,False,False
2025-07-18,2,33303.663165363265,114626.10461884676,120357.4098497891,87737.59284688569,92124.47248922997,295463.3714503722,507945.25378939125,False,False
2025-07-21,2,9085.642879984727,115315.92022571969,121081.71623700568,87738.32889677175,92125.24534161034,295047.36185397784,508254.32343259384,False,False
2025-07-22,2,-16746.660581325552,112771.30552917832,118409.87080563724,87734.58952089987,92121.31899694487,291981.6232364713,502512.81303905346,False,False
2025-07-23,2,-28423.006939997154,110878.49287450203,116422.41751822714,87717.12652526297,92102.98285152612,297656.1674032635,506181.56777301675,False,False
2025-07-24,2,-34484.928831818484,110049.22233096801,115551.68344751642,87577.87489754002,91956.76864241702,300005.1605576791,507513.6126476125,False,False
2025-07-25,2,-78825.09095850222,106488.06100169301,111812.46405177767,87476.83184444907,91850.67343667152,299315.4354841291,502978.57297257835,False,False
2025-07-28,2,-77808.40845756048,110651.84391471176,116184.43611044735,87352.57934558424,91720.20831286345,298375.60104777594,506280.24547108676,False,False
2025-07-29,2,-23767.428265673007,115157.24603981565,120915.10834180644,87240.00386364463,91602.00405682686,299115.3422702215,511632.4546688548,False,False
2025-07-30,2,61721.76118896596,114227.75428528989,119939.14199955438,87106.48194606454,91461.80604336777,300414.00950494217,511814.9575478643,False,False
2025-07-31,2,76843.09063133204,118378.99631197979,124297.94612757879,87090.86820895165,91445.41161939924,300678.6810734902,516422.03882046824,False,False
2025-08-01,2,26732.862260904272,118729.88500390862,124666.37925410406,87080.44309483227,91434.46524957388,295194.3333275014,511295.17783117935,False,False
2025-08-04,2,38697.58110787805,109691.23280806212,115175.79444846524,87069.20274773108,91422.66288511764,299267.49323658785,505865.9505701707,False,False
2025-08-05,2,25456.829746081396,110699.82225335957,116234.81336602755,87053.45612900655,91406.12893545687,299012.2354462584,506653.1777477428,False,False
2025-08-06,2,-1302.2639150262485,111535.1298102412,117111.88630075326,86901.7082472054,91246.79365956568,293318.26510567893,501676.9450659979,False,False
2025-08-07,2,-14809.002905147663,107366.87744874378,112735.22132118097,86745.3772272374,91082.64608859929,308560.6828281626,512378.5502379429,False,False
2025-08-08,2,2634.13519240018,108096.33981570021,113501.15680648522,86593.76959533701,90923.45807510387,309933.92430925264,514358.5391908417,False,False
2025-08-11,2,10916.628555688654,105469.44678066327,110742.91911969644,86437.60462040601,90759.48485142631,313954.2017946579,515456.60576578067,False,False
2025-08-12,2,-15459.7080231599,101313.94496134744,106379.64220941481,86423.98505842236,90745.18431134349,321115.0323535368,518239.85887429514,False,False
2025-08-13,2,10267.107029228824,102375.48617572577,107494.26048451207,86423.03889377847,90744.1908384674,326712.2696514717,524950.7209744512,False,False
2025-08-14,2,11910.690600797938,102781.12827779807,107920.18469168797,86393.39281050826,90713.06245103368,345070.5152575526,543703.7624002743,False,False
2025-08-15,2,14678.249976789835,100601.9570283503,105632.05487976782,86389.50375302054,90708.97894067157,354652.5792632079,550993.6130836473,False,False
2025-08-18,2,6199.412770961016,98652.32445266977,103584.94067530327,86270.78232747383,90584.32144384753,363211.799532913,557381.0616520639,False,False
2025-08-19,2,-49785.723826347115,97441.32846220418,102313.3948853144,86174.51950846729,90483.24548389066,365059.07509538974,557855.7154645948,False,False
2025-08-20,2,-41120.580152644,99056.32113460539,104009.13719133566,86047.0763113057,90349.430126871,367338.3952734391,561696.9625916458,False,False
